Level,Top 1 Hard Skill,Top 2 Hard Skill,Top 3 Hard Skill,Top 4 Hard Skill,Top 5 Hard Skill,Top 6 Hard Skill,Top 7 Hard Skill,Top 8 Hard Skill,Top 9 Hard Skill,Top 10 Hard Skill
Junior Data Analysts,Analytics,Tooling,SQL (Programming Language),Industrialization,Data Visualization,Python (Programming Language),Survey Data Analysis,Coloring,Tableau (Business Intelligence Software),Statistics
Lead Data Analysts,Analytics,Tooling,SQL (Programming Language),Dashboard,Industrialization,Survey Data Analysis,Additives,Data Science,Personalization,Tableau (Business Intelligence Software)
Senior Data Analysts,Analytics,SQL (Programming Language),Tooling,Dashboard,Tableau (Business Intelligence Software),Survey Data Analysis,Data Visualization,Python (Programming Language),Industrialization,Statistics
Other,Analytics,SQL (Programming Language),Tooling,Dashboard,Python (Programming Language),Minimum Data Set,Survey Data Analysis,Tableau (Business Intelligence Software),Data Quality,Data Visualization
